Course Title,Level,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url,Duration to complete (Approx.),Price,Course Picture Url
Psychological Research Specialization,Beginner level,Ethical Practices in ResearchData Analysis and StatisticsQuantitative Research Methods,"Statistics, Research Methods, Data Analysis, Ethical Methods, Research And Design","Methods for Quantitative Research in Psychology, Ethics of Psychological Research, Statistics in Psychological Research","Ben Langmead, Ali Hirsa, Brian Broll, Karen Reivich, Chris J. Vargo",University of Glasgow,Health,https://www.coursera.org/specializations/psychological-research,60,11,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e6/cccfddbde04d38a4bec81811381851/600x600-RM-specialization-v2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Learning How To Learn for Youth,Beginner level,Compare two modes of thinking and their effective use.Identify the cause of procrastination and how to stop doing it.Explain how sleep and exercise improve learning and memory. Discover how active learning can help you study more effectively.,"Test Preparation, Learning To Learn, Pomodoro Technique, Meta Learning","What is Learning?, Tips to Build Your Memory, Brain Links and Study Tips","Dr. John L. Puckett, Martin E.P. Seligman, James Riedel",University of Michigan,Personal Development,https://www.coursera.org/learn/learning-how-to-learn-youth,6,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/07/a47d30d7d011e8b0d861cb9a15e1d3/How-to-Learn-1-iStock-695372170_SQ.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Java FullStack Developer Specialization,Intermediate level,"Master Java fundamentals, object-oriented programming, data structures, and algorithms to write effective, efficient code. Leverage Angular for front-end web development. Acquire skills to design, develop, and deploy complex, dynamic, and responsive web applications.Delve into building robust and scalable backend systems using Spring and Spring Boot. Learn how to develop RESTful web services.Benefit from hands-on learning, applying skills to real-world scenarios to create, integrate, and deploy cloud-ready applications. ","Spring, Data Structure, HTML, JPA, hibernate, springboot, JavaScript, Angularjs, Cascading Style Sheets (CSS), Java Programming, Object-Oriented Programming (OOP)","Fundamentals of Java Programming, Frontend for Java Full Stack Development, Data Structures & Backend with Java","Alex Fosdick, Dr. Michael Charles Johanek, Liliana Florea, Melanie Manos, Lori Poole",University of Colorado Boulder,DataScience,https://www.coursera.org/specializations/java-fullstack,60,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/4dcbc397754fb880094f4ebde1fdb5/Java-Full-Stack-Developer-specialization-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Statistical Analysis with R for Public Health Specialization,Beginner level,Recognise the key components of statistical thinking in order to defend the critical role of statistics in modern public health research and practiceDescribe a given data set from scratch using descriptive statistics and graphical methods as a first step for more advanced analysis using R softwareApply appropriate methods in order to formulate and examine statistical associations between variables within a data set in RInterpret the output from your analysis and appraise the role of chance and bias as explanations for your results,"Logistic Regression, Linear Regression, Statistical Thinking, Survival Analysis, Data analysis with R","Introduction to Statistics & Data Analysis in Public Health, Linear Regression in R for Public Health , Logistic Regression in R for Public Health, Survival Analysis in R for Public Health","Amol S. Navathe, Lindred Greer, Dr. Quentin McAndrew, Dr. Aviva Legatt",Johns Hopkins University,Computer Science,https://www.coursera.org/specializations/statistical-analysis-r-public-health,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/39/72000891b046aa94677d96009a2bee/Statistics-for-Public-Health.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Data Analysis with R,Intermediate level,"Prepare data for analysis by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.Compare and contrast predictive models using simple linear, multiple linear, and polynomial regression methods.Examine data using descriptive statistics, data grouping, analysis of variance (ANOVA), and correlation statistics.Evaluate a model for overfitting and underfitting conditions and tune its performance using regularization and grid search.","Data Science, Data Analysis, Statistical Analysis, Data Visualization, R Programming","Introduction to Data Analysis with R, Data Wrangling, Exploratory Data Analysis,  Model Development in R, Model Evaluation, Project","Natasha Sarin, Jeff Leek, Jenny Young, Anne Dougherty",The Hong Kong University of Science and Technology,DataScience,https://www.coursera.org/learn/data-analysis-with-r,16,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/29/c264b3b49d4d52bdc6a62ea475c0c6/Data-Analysis-with-R-New.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Create Your First Automation Script Using Selenium and Java,Beginner level,"Setup a java project for selenium automation testingWriting test automation script using selenium and javaInteract with web elements like text box, radio button, buttons, web tables on a web application.","Software Testing, Functional Testing, Test Automation, selenium automation",Learn step-by-step,Matthew Bidwell,University of Colorado Boulder,Computer Science,https://www.coursera.org/projects/create-automation-script-using-selenium-java,2,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/05/1f48da32b3491e9ef3b91f763b4485/Screen-Shot-2020-07-10-at-7.06.07-PM.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Semiconductor Packaging Manufacturing ,Beginner level,Learn about the various stages of semiconductor package manufacturing. The role of Process Control Systems in semiconductor manufacturing. How Process control Systems can help identify and correct process problems. How to use control charts to monitor process performance. ,"Process Improvement, Integrated Circuit Packaging Materials, Semiconductor Packaging Assembly Process, Quality and Reliability Assessment, Assembly Methods","Welcome , Introduction to Semiconductor Package Manufacturing 1 , Introduction to Semiconductor Package Manufacturing 2, Assembly Part 1, Assembly Part 2, Test and Finish, Process Control Systems (PCS), Semiconductor Packaging Manufacturing Course Summary","Angela Duckworth, Alex Fosdick, Jessica Cinco, Liliana Florea",University of Colorado Boulder,Physical Science and Engineering,https://www.coursera.org/learn/manufacturing,8,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ed/1669c479104d469276999fba93880f/20220728NEI_MacroTechnologyWorksDD_587.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to battery-management systems,Intermediate level,Understand how lithium-ion battery cells workUnderstand the requirements of a battery-management system,"Understand the requirements of a battery-management system, Understand how lithium-ion battery cells work","Battery Boot Camp, How lithium-ion cells work, BMS sensing and high-voltage control, BMS design requirements 2-5, How are cells made? How can they fail?","Dr. John L. Puckett, Sarah Hammer, Dan Zhang, David P. Silverman",University of Michigan,DataScience,https://www.coursera.org/learn/battery-management-systems,24,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/a7/e3bf3df9a344948c9c674e3f308164/Introduction-to-Battery-Management-Systems.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Creating a Technology Startup Company,Beginner level,"By successfully completing this course,  you will be able to describe the meaning of entrepreneurial systems thinking.You will be able to identify the roles and responsibilities of founders, key management, and the board of directors.You will also be able to summarize the components of operations in a technology startup and the value of tools for tracking metrics.Lastly, you will be able to create Product, Market, and Management & Operations business plans.","Startups, technology, Entrepreneurship, Engineering, Engineering management","Entrepreneurial Ecosystems, Business Models, Concept Pitch & the Lean Business Plan, Product & Market, Management & Operations, Operations & Planning","Dana Kaminstein, Matthew A. Koschmann, M.S. Krishnan",Vanderbilt University,Personal Development,https://www.coursera.org/learn/creating-a-technology-startup-company,34,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/9d/1084481cfa41b287fe01c3bdc00f6c/creating_a_startup_company_course_logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to Multinational and Cross-Cultural Teams,Intermediate level,"Explain the concept of culture, how it affects your approach to work, & the opportunities and challenges in multinational and cross-cultural teams.","Culture, Bias, Teams, Awareness, multinational","Getting Started and Why Culture Matters, Opportunities and Challenges of Teamwork, Opportunities and Challenges of Multinational and Cross-Cultural Teams, Practicing Cross-Cultural Management","Chancellor Thomas Pascale, Cade Massey, Roger D. Peng, Derek Newberry",Vanderbilt University,Personal Development,https://www.coursera.org/learn/intro-multinational-cross-cultural-teams,14,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/dd/96ff13fe5c4d9ba04448f9ff0f1bfe/MCC1105_1200x1200.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"American Politics, Society, and History",Beginner level,"Describe American polity, culture, and society in interdisciplinary and historically informed ways.Explain social factors like race, ethnicity, and gender in the US.Demonstrate interpretive and analytical arguments clearly through discussions.","analytical thinking, Cultural Awareness, Polictal Knowledge","The US Constitutional Tradition, Government and Politics of America, Race and Ethnicity in the United States, Gender in America, American Culture","Eric Bradlow, Greg Urban",Imperial College London,Social Sciences,https://www.coursera.org/learn/american-politics-society-and-history-mooc,58,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ab/437373482945f9b73e995305bc3630/MOOC1-Logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to Finance: The Basics,Beginner level,Build a financial knowledge base by understanding essential topics in modern finance. Develop an understanding of the issues managers must consider when making financial decisions.Be ready to conduct analysis using information from financial statements.Understand and apply the time value of money in order to value financial and real asset investments and to make investment decisions.,"Financial Management, Finance, Future Value, Leadership And Management","Course Orientation, Module 1: Introduction to Finance, Module 2: Financial Statements and Cash Flow, Module 3: Financial Statements Analysis, Module 4: Time Value of Money","Ethan Mollick, Stephen R. Lawrence",Arizona State University,Business,https://www.coursera.org/learn/introduction-to-finance-the-basics,18,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/7b/8786437a134401b5418555c55278fe/GIES_Icon_B.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Legal Tech and the Digital Transformation of Law,Beginner level,"An overview of the legaltech market with its key actors and protagonists.The impact of new digital technologies on law firms, in-house lawyers and justice systems.The key market trends to guide your career towards the future of the legal industry.","administration of justice., technological and regulatory context, digital transformation of law, legal software prototypes, blockchain and artificial intelligence","Module 1: Law in the Context of the Digital Revolution., Module 2. The Disruption of Artificial Intelligence in Law., Module 3. Blockchain Disruption in Law., Module 4. Innovation for Access to Justice., Module 5. Your Transformation into a Digital Lawyer.","Marc Peter Deisenroth, Jonah Berger",University of Michigan,DataScience,https://www.coursera.org/learn/legal-tech-digital-transformation-of-law,14,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/80/a7032b50a649e1b6f23d80a8445875/legaltech_boceto_coursera_icono.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
DevOps on AWS and Project Management,Beginner level,Learn about the use cases for project management in businessUnderstand the differences between Agile and Waterfall methodologies  ,"Software Testing, Continuous Integration, Version Management, security, Automation","Defining the Project, Project Management Methodologies, Introduction to DevOps, Building a Better Pipeline","Alex Fosdick, Dr. Michael Charles Johanek, Christopher Geczy, Scott DeRue",University of Colorado Boulder,Information Technology,https://www.coursera.org/learn/devops-and-project-management-aws,8,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f1/65aa1767e54096be6f60de21de8cd0/CTC-Prof-Cert-Course-Image---800x800Coursera-Course-6.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Machine Learning and Reinforcement Learning in Finance Specialization,Intermediate level,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  Describe linear regression and classification models and methods of their evaluation  Explain how Reinforcement Learning is used for stock trading  Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  ","Tensorflow, Financial Engineering, Reinforcement Learning, Machine Learning, Predictive Modelling","Guided Tour of Machine Learning in Finance, Fundamentals of Machine Learning in Finance, Reinforcement Learning in Finance, Overview of Advanced Methods of Reinforcement Learning in Finance","Claire Robertson-Kraft, William Van Atten",University of Glasgow,Computer Science,https://www.coursera.org/specializations/machine-learning-reinforcement-finance,80,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a4/1658505d1e11e8970eeb2a232d4fdc/Machine-Learning-for-Finance.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Crea tu presencia en redes sociales para tu negocio en Canva,Beginner level,Learn how to use Canva to build your presence in Social MediaLearn about graphic design and social media demographics,"Social Media Marketing, Social Media, Canva, Social Media Platforms, Graphic Design",Learn step-by-step,"Christian Terwiesch, Nikolaus Correll",University of Pennsylvania,Social Sciences,https://www.coursera.org/projects/crea-tu-presencia-en-redes-sociales-para-tu-negocio-en-canva,2,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/fd/59c212b2fd4a67aa541432442b2eed/BIG-SALE-4-.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Collect and Share Employee Feedback with Officevibe,Beginner level,"Create a pulse survey, 1-on-1 meeting agenda, and employee poll. Create individual and team goals.","Strategic Leadership, Employee Feedback, Leadership Development, Leadership And Management, Employee Reviews",Learn step-by-step,"Angela Duckworth, Akos Ledeczi, Alex Fosdick, Scott DeRue, Andrew Wu",University of Colorado Boulder,Personal Development,https://www.coursera.org/projects/collect-and-share-employee-feedback-officevibe,2,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/db/931d2294544eb59c90a7e8ecbdea8a/feedback.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Researcher Management and Leadership Training,Intermediate level,"Assess the importance of management and leadership skills, and identify approaches to optimize resources when building a research career.Identify key financial and administrative responsibilities for researchers, including regulatory compliance, financial reporting, and budgeting.Understand how to effectively manage a research group: hire new people, manage existing employees, and engage teams to cultivate a positive culture.Compare key responsibilities for mentors and mentees, strategically build mentorship teams, and enhance mentorship using coaching and sponsorship.","Clinical Research, Leadership, Resource Management, Mentorship, Team Management","Researcher Management and Leadership Training, Leadership, Finance and Administration, Management - Part 1: Starting a Research Team, Management - Part 2: Growing and Maintaining a Research Team, Mentorship","William Van Atten, Chris J. Vargo",University of Glasgow,Health,https://www.coursera.org/learn/researcher-management-leadership-training,20,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/06/7a20bce2684ba29df9c42c511ed4fc/Researcher-Management-and-Leadership-Training.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
IBM Data Warehouse Engineer Professional Certificate,Beginner level,"Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily rolesLearn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2Develop working knowledge of various types of SQL and queries to access and manipulate data in databasesDesign and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics","Enterprise Data Warehouse (EDW), Data Science, Extract Transform Load (ETL), Postgresql, Database Architecture, Business Intelligence (BI), Relational Database (RDBMS), SQL, NoSQL, MySQL, Database (DBMS), database (DB) design","Introduction to Data Engineering, Introduction to Relational Databases (RDBMS), SQL: A Practical Introduction for Querying Databases, Hands-on Introduction to Linux Commands and Shell Scripting, Relational Database Administration (DBA), ETL and Data Pipelines with Shell, Airflow and Kafka, Getting Started with Data Warehousing and BI Analytics, Data Warehousing Capstone Project","Dik Lun LEE, Ben Langmead, Karen Reivich, Jay Clayton, Brian Broll",University of Glasgow,Information Technology,https://www.coursera.org/professional-certificates/data-warehouse-engineering,120,6,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/da/507477bbb74db4b7f98d1d50f15cbb/IBM-DW-Eng-PC-Coursera-Final-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Grundlagen der Unfallchirurgie,Intermediate level,Unfallmechanismen und ihre FolgenFrakturlokalisierungFrakturklassifizierungVersorgung nach Goldstandard,"Frakturlokalisierung, Traumadiagnostik, Frakturklassifizierung, Rehabilitation nach Trauma, Frakturversorgung","Modul 1, Modul 2, Modul 3, Modul 4 , Modul 5, Modul 6","Prosci Certified, Barbara E. Kahn, Donna Mejia",Arizona State University,Health,https://www.coursera.org/learn/unfallchirurgie,12,5.5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/7a/451870449311e888142d2d9d9fd163/Course-Logo_1.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Share Data Through the Art of Visualization,Beginner level,Describe the use of data visualizations to talk about data and the results of data analysis.Identify Tableau as a data visualization tool and understand its uses.Explain what data driven stories are including reference to their importance and their attributes.Explain principles and practices associated with effective presentations.,"Data Analysis, Tableau Software, Data Visualization, Presentation","Visualize data, Create data visualizations with Tableau, Craft data stories , Develop presentations and slideshows","Tyson Gern, Delian Gaskell",University of Michigan,DataScience,https://www.coursera.org/learn/visualize-data,25,9.5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/60/043ef8b0034ded8a103de9e3856147/Share-Data-Through-the-Art-of-Visualization.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces
"Ready, Set, Future! Introduction to Futures Thinking",Beginner level,"Define futures thinking and give examples of futures projectsCollect and analyze signals of changeIdentify historical change in the past to predict new changes in the futureLearn how to avoid future shock - and help others avoid it, too!","Foresight, Strategic Thinking, Creativity, Leadership, Innovation","Welcome to the Future, Signals of Change, Look Back to Look Forward, Four Types of Futures Thinking","Christopher D. Ittner, Dr. John L. Puckett, Sarah Hammer, Martin E.P. Seligman",University of Michigan,Business,https://www.coursera.org/learn/introduction-to-futures-thinking,11,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/36/614c7a62254878ae597f9da4293433/Ready-Set-Future.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"Image Segmentation, Filtering, and Region Analysis",Beginner level,"Use segmentation to detect and analyze regions of interest in images & videoApply spatial filters and morphological operators to improve segmentation & remove noiseSegment & analyze 3D images, such as MRI images of a brainUse interactive tools to quickly test a variety of segmentation approaches & automatically generate code for reuse","Image Processing, Image Segmentation, region analysis, image filtering","Spatial Filtering and Edge Detection, Improving Segmentation, Advanced Segmentation Approaches, Calculating Region Properties","George Siedel, Kariann Yokota, Scott Piper, Greg Urban",Imperial College London,Physical Science and Engineering,https://www.coursera.org/learn/image-segmentation,10,16.99,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/74/ba32ce00f84ae9b8072315c004e099/coursera-image-processing-engineering-science-course-logo-course2-image-seg-filter-region-analysis.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Writing and Editing: Word Choice and Word Order,Beginner level,Learn how the words you choose can change the decisions people make  Use syntax strategicallyWrite with originality and produce sentences that nobody else can writeArrange a complex set of information in a reader-friendly way  ,"Creativity, Time management, Persuasion, Writing, Editing","The Words Under the Words, The Infinite Power of Grammar, The Rule of Three, The Power of the Particular","Barbara E. Kahn, Jack Noble, Amrita V. Subramanian",Arizona State University,DataScience,https://www.coursera.org/learn/writing-editing-words,20,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3f/12474d620f49b1ac45032b13b00f37/gww_wordsandwordorder_V1.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Application Development using Microservices and Serverless ,Intermediate level,"Summarize the fundamentals of Microservices, their advantages, and contrast with monolithic architectures.Create REST API endpoints and invoke them using cURL and Postman; Use SwaggerUI to document and test APIs.Create, and deploy microservices using Docker containers and serverless technologies like IBM Code Engine.Practice hands-on with labs and projects using a no-charge cloud-based environment.","Representational State Transfer (REST), Cloud Applications, Openshift, Microservices, serverless","Introduction to Microservices, Web API Essentials: REST API and GraphQL, Serverless Overview, Create and Deploy Microservices using Serverless, Final Project, Optional: OpenShift Essentials/Working with OpenShift and Istio","Paul Resnick, Santiago Gallino",Columbia University,Computer Science,https://www.coursera.org/learn/applications-development-microservices-serverless-openshift,15,47,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/5a/40f6dc50574996b94894be263e1694/CAD-8.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Risk Management Specialization,Beginner level,Understand the concepts and principles of credit risk management and the steps to manage portfolio credit risks. Use statistical models to measure risk associated with different types of investments. How to build an operational risk assessment program.,"Credit Risk Measurement and Management, Market Risk Measurement and Management, Application of Financial Statistics and Probability, Operational Risk Measurement and Management","Introduction to Risk Management, Credit Risk Management: Frameworks and Strategies, Market Risk Management: Frameworks & Strategies, Operational Risk Management: Frameworks & Strategies","Dana Kaminstein, Erin Willis",Vanderbilt University,Health,https://www.coursera.org/specializations/risk-management,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ec/10fcf818904b81b030646254091c22/shutterstock_557416681.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Culture-Driven Team Building Specialization,Beginner level,Recognize aspects of team culture to maximize team performance. Draw out the collective wisdom of diverse  teams and create a team culture of continuous learning. Handle conflict. Establish common ground rules. ,"Team Building, Intercultural Communication, Collaboration, Team dynamics, Organizational Anthropology","The Power of Team Culture, Building High-Performing Teams, Optimizing Diversity on Teams, Creating a Team Culture of Continuous Learning, Culture-Driven Team Building Capstone ","Jacob Pritt, Peter  Frumkin, Jenny Young, Mathias Nordvig",The Hong Kong University of Science and Technology,DataScience,https://www.coursera.org/specializations/team-building,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/99/4caae0e11911e798a167cbedd0e5ab/Teams-specialization-icon.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Decentralized Finance (DeFi) Primitives,Intermediate level,Token design and NFTsMechanics of supply adjustmentDecentralized exchange,"Address mechanics, Bonding curves, Consensus mechanisms, Flash loans, digital signature","Mechanics, Supply and Ownership, Loans and Swaps, Joining the World of DeFi","Joseph W. Cutrone, Dik Lun LEE, Philip Nichols, Wharton Teaching Staff, Jay Clayton",University of Glasgow,Computer Science,https://www.coursera.org/learn/decentralized-finance-primitives-duke,6,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e9/20c4e506714a3d96f778d53a71af5a/DeFi.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
PostgreSQL for Everybody Specialization,Intermediate level,How to use the PostgreSQL database effectivelyExplore database design principlesDive into database architecture and deployment strategiesCompare and contrast SQL and NoSQL database design approaches and acquire skills applicable to data mining and application development,"Json, Database (DBMS), SQL, Natural Language Processing","Database Design and Basic SQL in PostgreSQL, Intermediate PostgreSQL, JSON and Natural Language Processing in PostgreSQL, Database Architecture, Scale, and NoSQL with Elasticsearch","Amrita V. Subramanian, Daryl Maeda",Arizona State University,DataScience,https://www.coursera.org/specializations/postgresql-for-everybody,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ff/6a611523634fa0b4c2905d267670de/pg4e_thumbnail_specializationimage_resized.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"Spark, Hadoop, and Snowflake for Data Engineering",Advanced level,"Create scalable data pipelines (Hadoop, Spark, Snowflake, Databricks) for efficient data handling.Optimize data engineering with clustering and scaling to boost performance and resource use.Build ML solutions (PySpark, MLFlow) on Databricks for seamless model development and deployment.Implement DataOps and DevOps practices for continuous integration and deployment (CI/CD) of data-driven applications, including automating processes.","Big Data, Python Programming, Information Engineering, Apache Hadoop, Apache Spark","Overview and Introduction to PySpark, Snowflake, Azure Databricks and MLFLow, DataOps and Operations Methodologies","Maxim Sytch, Dr. Aviva Legatt, Mike Barinek, Dr. Quentin McAndrew, Christopher Brooks",Johns Hopkins University,Information Technology,https://www.coursera.org/learn/spark-hadoop-snowflake-data-engineering,29,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/80/0b847e5fd4474095f66806d4d5f8b4/14-copy.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Zn and Ni Based Batteries,Beginner level," Participants will learn active materials, chemistry and manufacturing processes in various Zn and Ni battery selection and size applications. ","battery management systems, battery charging, Electric Vehicles, battery types","Course Introduction, Introduction to Zn-based Batteries, Module 2: Ni-based Batteries, Module 3: Pb-Acid Batteries","Santiago Gallino, David Musto, Paul Resnick",Columbia University,Physical Science and Engineering,https://www.coursera.org/learn/zn-and-ni-based-batteries,7,29.5,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/ddf42a64a94c768b06a2a085a58caa/shutterstock_100696522.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Simple Regression Analysis in Public Health ,Beginner level,Practice simple regression methods to determine relationships between an outcome and a predictor Recognize confounding in statistical analysisPerform estimate adjustments,"P-Value, regression, Proportional Hazards Model, Confounding","Simple Regression Methods, Simple Logistic Regression, Simple Cox Proportional Hazards Regression, Confounding, Adjustment, and Effect Modification, Course Project","Jonah Berger, Mike Barger, Ilari Kaila, Sriram Sankaranarayanan, Kenneth W T Leung",University of Michigan,Health,https://www.coursera.org/learn/simple-regression-analysis-public-health,13,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/35/1ca1c0fd5011e8b63575ab15d600d2/Public-Health-Biostatistic_Logo4_Simple-Regression-Methods-02.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
